ID PINTURA;CÓDIGO;ARTISTA;TÍTULO;SERIE;PRECIO;DISPONIBLE;AÑO;TÉCNICA;DIMENSIONES;LOCALIZACION / UBICACIÓN;ENMARCADO;AUTENTICADO;DESCRIPCIÓN / OBSERVACIONES;FOTO
264;264;Miguel Pons Tous;Álamos de Calera;;0;VERDADERO;1977;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
265;265;Miguel Pons Tous;Colonia de FACE Nº 2 - Capilla del Monte;Capilla del Monte;0;VERDADERO;1977;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
266;266;Miguel Pons Tous;Sierras;;0;VERDADERO;2001;Óleo en cartón entelado;35 x 45;;FALSO;FALSO;;1
267;267;Miguel Pons Tous;Campo;;0;VERDADERO;1980;Óleo en chapadur;35 x 45;;FALSO;FALSO;;1
268;268;Miguel Pons Tous;Mallorca Nº 2;;0;VERDADERO;1984;Óleo en cartón entelado;35 x 50;;FALSO;FALSO;;1
269;269;Miguel Pons Tous;Bahia de Palma de Mallorca;;0;VERDADERO;;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
270;270;Miguel Pons Tous;Mirador de las Ánimas - Deya - Mallorca;;0;VERDADERO;1979;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
271;271;Miguel Pons Tous;Rancho de Doña Carmen Torres Nº 3 - Santa Catalina - Córdoba;;0;VERDADERO;1981;Óleo en cartón entelado;30 x 50;;FALSO;FALSO;;1
272;272;Miguel Pons Tous;Río de Calera - Córdoba;;0;VERDADERO;1974;öleo en cartón entelado;30x40;;FALSO;FALSO;;1
273;273;Miguel Pons Tous;Cabána - Córdoba;;0;VERDADERO;1972;öleo en cartón entelado;30x40;;FALSO;FALSO;;1
274;274;Miguel Pons Tous;Bailaora 2;;0;VERDADERO;1980;Óleo en cartón entelado;30x40;;FALSO;FALSO;;1
275;275;Miguel Pons Tous;San Francisco del Chañar;;0;VERDADERO;1980;Óleo en cartón entelado;30x40;;FALSO;FALSO;;1
276;276;Miguel Pons Tous;Casa de Marysol 2 - Córdoba;;0;VERDADERO;1978;Óleo en cartón entelado;30x40;;FALSO;FALSO;;1
277;277;Miguel Pons Tous;Damas Mallorquinas;;0;VERDADERO;1979;Óleo en cartón entelado;30x40;;FALSO;FALSO;;1
278;278;Miguel Pons Tous;Navegar;;0;VERDADERO;1980;Óleo en cartón entelado;30x40;;FALSO;FALSO;;1
279;279;Miguel Pons Tous;Don José Aloisi - Capilla del Monte;;0;VERDADERO;1977;Óleo en cartón entelado;30x40;;FALSO;FALSO;;1
280;280;Miguel Pons Tous;Casa de Don Ricardo - Capilla del Monte;;0;VERDADERO;1984;Óleo en chapadur;30x40;;FALSO;FALSO;;1
281;281;Miguel Pons Tous;Calera por la tarde - Córdoba;;0;VERDADERO;1978;Óleo en cartón entelado;30x40;;FALSO;FALSO;;1
282;282;Miguel Pons Tous;Córdoba desde calle Colón;;0;VERDADERO;1976;Óleo en cartón;27,5x37,5;;FALSO;FALSO;;1
283;283;Miguel Pons Tous;Villa Belgrano - Córdoba;;0;VERDADERO;1976;Óleo en cartón;27,5x37;;FALSO;FALSO;;1
284;284;Miguel Pons Tous;Entrada al Chateau Carreras - Córdoba;;0;VERDADERO;1976;Óleo en cartón;27,5x37,5;;FALSO;FALSO;;1
285;285;Miguel Pons Tous;Río Suquía - Villa Belgrano - Córdoba;;0;VERDADERO;1976;Óleo en cartón;27,5x37;;FALSO;FALSO;;1
